Target,MAJORAXIS,MINORAXIS
0,110,39
0,106,43
0,97,36
0,104,49
0,104,41
0,102,42
0,103,48
0,109,50
0,112,44
0,108,46
0,110,44
0,97,44
0,116,43
0,94,40
0,106,44
0,102,44
0,17,16
0,100,37
0,99,38
0,99,44
0,104,41
0,104,36
0,107,47
0,110,45
0,104,47
0,105,47
0,94,39
0,104,45
0,107,46
0,112,42
0,99,41
0,99,38
0,102,41
0,108,44
0,90,43
0,96,40
0,108,53
0,98,32
0,103,45
0,104,42
0,98,48
0,92,43
0,106,52
0,100,35
0,105,43
0,107,46
0,109,39
0,106,44
0,99,37
0,104,50
0,105,41
0,102,42
0,103,48
0,109,51
0,112,44
0,108,46
0,110,44
0,98,43
0,116,43
0,93,40
0,106,44
0,101,44
0,87,33
0,101,38
0,98,39
0,100,44
0,104,41
0,106,36
0,107,49
0,111,45
0,103,47
0,105,47
0,94,39
0,104,45
0,108,47
0,113,42
0,100,42
0,100,39
0,95,28
0,102,41
0,109,44
0,96,40
0,90,43
0,108,53
0,98,32
0,103,45
0,107,48
0,98,48
0,92,43
0,107,52
0,101,36
0,105,43
0,107,46
0,109,40
0,105,44
0,100,37
0,104,50
0,105,41
0,102,42
0,103,48
0,109,51
0,111,44
0,107,46
0,111,44
0,98,44
0,115,44
0,93,40
0,106,44
0,102,44
0,90,36
0,99,38
0,97,39
0,100,45
0,104,41
0,105,37
0,109,49
0,110,45
0,104,47
0,105,47
0,94,39
0,103,37
0,103,45
0,107,46
0,113,43
0,98,42
0,99,39
0,97,31
0,101,41
0,108,44
0,97,40
0,90,43
0,108,53
0,98,33
0,103,46
0,109,50
0,98,48
0,92,43
0,107,53
0,101,36
0,104,43
0,108,46
0,110,40
0,107,43
0,103,37
0,104,49
0,107,40
0,102,42
0,102,48
0,109,51
0,111,44
0,107,46
0,110,44
0,97,44
0,116,44
0,93,40
0,107,44
0,101,44
0,91,37
0,101,38
0,98,39
0,50,29
0,99,45
0,102,41
0,106,38
0,109,50
0,110,45
0,103,48
0,105,47
0,94,40
0,109,43
0,103,45
0,107,47
0,114,43
0,100,42
0,99,39
0,99,33
0,101,41
0,109,44
0,96,40
0,90,43
0,108,53
0,98,33
0,104,45
0,111,50
0,98,48
0,92,43
0,107,52
0,101,36
0,104,43
0,107,46
0,110,40
0,106,44
0,103,37
0,105,49
0,85,26
0,105,41
0,102,43
0,103,48
0,108,51
0,112,44
0,107,46
0,93,35
0,110,45
0,98,44
0,116,44
0,93,39
0,106,44
0,101,44
0,91,38
0,100,38
0,98,40
0,103,40
0,99,45
0,103,40
0,105,38
0,110,50
0,110,45
0,103,48
0,105,47
0,94,39
0,110,45
0,104,45
0,108,47
0,114,43
0,100,42
0,100,40
0,99,35
0,101,41
0,108,44
0,96,40
0,90,43
0,108,53
0,98,33
0,103,46
0,110,51
0,98,48
0,92,43
0,107,52
0,101,36
0,106,43
0,107,46
0,110,40
0,104,44
0,101,38
0,104,49
0,88,31
0,105,41
0,102,43
0,102,48
0,108,51
0,112,44
0,107,46
0,95,37
0,109,45
0,98,44
0,116,44
0,93,39
0,107,44
0,101,44
0,92,39
0,101,38
0,97,40
0,105,42
0,98,45
0,104,40
0,106,39
0,109,50
0,109,45
0,104,47
0,106,47
0,93,40
0,110,46
0,103,45
0,108,46
0,114,43
0,100,42
0,99,40
0,100,35
0,101,41
0,109,44
0,96,40
0,89,43
0,109,53
0,98,33
0,103,46
0,111,52
0,98,48
0,91,42
0,107,53
0,38,23
0,100,36
0,106,43
0,108,46
0,109,40
0,107,44
0,102,38
0,104,49
0,88,32
0,106,41
0,102,42
0,102,48
0,109,51
0,112,44
0,107,46
0,95,38
0,110,45
0,98,44
0,116,44
0,107,44
0,101,44
0,92,39
0,101,38
0,98,40
0,106,43
0,99,44
0,103,40
0,106,39
0,109,50
0,109,45
0,104,48
0,105,47
0,93,40
0,111,47
0,103,45
0,108,47
0,114,43
0,99,42
0,100,40
0,100,36
0,102,41
0,108,44
0,96,40
0,89,43
0,98,33
0,104,45
0,111,52
0,98,48
0,108,54
0,99,36
0,35,22
0,105,44
0,108,46
0,110,40
0,107,44
0,103,38
0,104,49
0,90,32
0,104,41
0,96,30
0,102,48
0,109,51
0,111,44
0,107,46
0,95,38
0,110,45
0,98,44
0,116,44
0,107,44
0,101,44
0,92,39
0,99,39
0,97,40
0,106,43
0,99,44
0,102,40
0,106,39
0,109,51
0,111,45
0,104,48
0,104,47
0,93,39
0,111,48
0,102,45
